"id","name","created_on","created_by"
"50","Organizational Skills","2024-05-11 14:53:57","1"
"51","Attention to Detail","2024-05-11 14:53:58","1"
"52","Financial Literacy","2024-05-11 14:53:59","1"
"53","Team Leadership","2024-05-11 14:54:00","1"
"54","Research Skills","2024-05-11 14:54:00","1"
"55","Technical Skills","2024-05-11 14:54:01","1"
"56","Programming","2024-05-11 14:54:02","1"
"57","Data Analysis","2024-05-11 14:54:03","1"
"58","Writing Skills","2024-05-11 14:54:04","1"
"59","Graphic Design","2024-05-11 14:54:05","1"
"60","Web Development","2024-05-11 14:54:06","1"
"61","SEO","2024-05-11 14:54:08","1"
"62","Social Media Management","2024-05-11 14:54:08","1"
"63","Content Creation","2024-05-11 14:54:08","1"
"64","Video Editing","2024-05-11 14:54:09","1"
"65","Photography","2024-05-11 14:54:10","1"
"66","Coaching/Mentoring","2024-05-11 14:54:11","1"
"67","Teaching","2024-05-11 14:54:12","1"
"68","Foreign Language Proficiency","2024-05-11 14:54:12","1"
"69","Conflict Management","2024-05-11 14:54:13","1"
"70","Business Development","2024-05-11 14:54:13","1"
"71","Market Research","2024-05-11 14:54:14","1"
"72","Risk Management","2024-05-11 14:54:14","1"
"73","Supply Chain Management","2024-05-11 14:54:15","1"
"74","Logistics","2024-05-11 14:54:16","1"
"75","Quality Management","2024-05-11 14:54:17","1"
"76","Human Resources Management","2024-05-11 14:54:18","1"
"77","Recruitment","2024-05-11 14:54:19","1"
"78","Employee Training","2024-05-11 14:54:20","1"
"79","Employee Relations","2024-05-11 14:54:22","1"
"80","Performance Management","2024-05-11 14:54:24","1"
"81","Data Entry","2024-05-11 14:54:26","1"
"82","Database Management","2024-05-11 14:54:27","1"
"83","Spreadsheet Skills","2024-05-11 14:54:28","1"
"84","Data Visualization","2024-05-11 14:54:28","1"
"85","Cloud Computing","2024-05-11 14:54:29","1"
"86","IT Support","2024-05-11 14:54:30","1"
"87","Systems Administration","2024-05-11 14:54:30","1"
"88","Network Administration","2024-05-11 14:54:31","1"
"89","Software Development","2024-05-11 14:54:32","1"
"90","UI/UX Design","2024-05-11 14:54:33","1"
"91","Front-End Development","2024-05-11 14:54:34","1"
"92","Back-End Development","2024-05-11 14:54:34","1"
"93","Database Administration","2024-05-11 14:54:35","1"
"94","Machine Learning","2024-05-11 14:54:36","1"
"95","Artificial Intelligence","2024-05-11 14:54:37","1"
"96","Robotics","2024-05-11 14:54:38","1"
"97","Virtual Reality","2024-05-11 14:54:43","1"
"98","Augmented Reality","2024-05-11 14:54:43","1"
"99","Blockchain","2024-05-11 14:54:45","1"
"100","Cryptocurrency","2024-05-11 14:54:46","1"
"101","E-commerce","2024-05-11 14:54:47","1"
"102","Online Advertising","2024-05-11 14:54:48","1"
"103","Brand Management","2024-05-11 14:54:49","1"
"104","Content Marketing","2024-05-11 14:54:50","1"
"105","Email Marketing","2024-05-11 14:54:50","1"
"106","Influencer Marketing","2024-05-11 14:54:51","1"
"107","Affiliate Marketing","2024-05-11 14:54:52","1"
"108","Financial Analysis","2024-05-11 14:54:53","1"
"109","Investment Management","2024-05-11 14:54:53","1"
"110","Taxation","2024-05-11 14:54:54","1"
"111","Corporate Finance","2024-05-11 14:54:55","1"
"112","Financial Planning","2024-05-11 14:54:56","1"
"113","Auditing","2024-05-11 14:54:57","1"
"114","Risk Assessment","2024-05-11 14:54:57","1"
"115","Insurance Management","2024-05-11 14:54:58","1"
"116","Legal Research","2024-05-11 14:54:59","1"
"117","Contract Negotiation","2024-05-11 14:55:00","1"
"118","Intellectual Property Management","2024-05-11 14:55:00","1"
"119","Regulatory Compliance","2024-05-11 14:55:03","1"
"120","Employment Law","2024-05-11 14:55:03","1"
"121","Environmental Law","2024-05-11 14:55:04","1"
"122","International Law","2024-05-11 14:55:05","1"
"123","Problem-solving","2024-05-11 14:55:06","1"
"124","Interior Designer","2026-07-29 09:37:56","1"
"125","CIVIL","2026-07-29 09:40:39","1"
